,Crypto,Profit,Volatility,Volume,Volume Percent Deviation,,,,,,,,
21,BICO-USD,0.566078517,0.06057839,2978.323185,2.435300189,,,,BICO-USD,0.566078517,0.06057839,2978.323185,2.435300189
116,XCN-USD,-7.218187376,0.140057341,3046.722495,5.132038532,,,,XCN-USD,-7.218187376,0.140057341,3046.722495,5.132038532
89,POLY-USD,-3.747730937,0.084577912,3269.35028,3.402409903,,,,POLY-USD,-3.747730937,0.084577912,3269.35028,3.402409903
35,DEXT-USD,-2.134193244,0.111478667,3398.745458,3.148934729,,,,DEXT-USD,-2.134193244,0.111478667,3398.745458,3.148934729
11,ATA-USD,0.568826897,0.062885551,3402.699205,2.930439498,,,,ATA-USD,0.568826897,0.062885551,3402.699205,2.930439498
72,MANA-USD,0.947920699,0.058864162,3403.598012,3.066364716,,,,MANA-USD,0.947920699,0.058864162,3403.598012,3.066364716
58,HFT-USD,3.151170165,0.118352608,3631.662492,3.069421409,,,,HFT-USD,3.151170165,0.118352608,3631.662492,3.069421409
92,PRQ-USD,0.74625513,0.045549265,3825.097012,2.85792378,,,,PRQ-USD,0.74625513,0.045549265,3825.097012,2.85792378
96,RARE-USD,0.261397926,0.103806712,4222.213006,2.567168125,,,,RARE-USD,0.261397926,0.103806712,4222.213006,2.567168125
33,DAR-USD,0.02011227,0.097696716,4563.154745,2.313257451,,,,DAR-USD,0.02011227,0.097696716,4563.154745,2.313257451
2,AERGO-USD,0.497632187,0.059307287,4686.860573,2.444265673,,,,AERGO-USD,0.497632187,0.059307287,4686.860573,2.444265673
23,BLZ-USD,0.578123682,0.059639568,5637.596991,2.819216498,,,,,-0.086559466,,,
83,OGN-USD,0.5778328,0.054901097,5755.279361,2.211561233,,,,,,,,
5,ALEPH-USD,-3.02939192,0.103705292,5862.429656,2.677596009,,,,,,,,
107,SUPER-USD,1.064754173,0.078244226,6297.870282,2.478095636,,,,,,,,
50,FOX-USD,-3.030978503,0.044892505,6788.144561,2.540969788,,,,,,,,
46,FIDA-USD,1.320561607,0.24877914,7207.047827,1.876543902,,,,,,,,
88,PNG-USD,-3.38495954,0.063816978,12213.03716,2.377195771,,,,,,,,
10,ARPA-USD,0.009580156,0.043725388,12302.30047,2.777148572,,,,,,,,
99,REQ-USD,0.861561334,0.040474557,13259.63513,2.558306683,,,,,,,,
113,TRU-USD,0.346227646,0.097118969,15398.68582,2.974763644,,,,,,,,
75,MDT-USD,0.982362892,0.069090602,18428.07502,2.545489002,,,,,,,,
56,GRT-USD,-1.412642664,0.065422503,18947.24707,4.109375055,,,,,,,,
71,LOOM-USD,0.171476134,0.063159441,21689.5808,2.635849808,,,,,,,,
105,SKL-USD,-2.484054099,0.067128894,21829.45933,2.685619696,,,,,,,,
